year,Ports,Table Wines (Red),temp,rain
2016,98,96,70,1
2015,96,96,70,3
2014,88,89,69,13
2013,89,89,69,6
2012,90,94,69,6
2011,99,95,70,5
2010,92,93,70,3
2009,96,95,69,5
2008,89,90,68,6
2007,93,94,69,7
2006,89,88,76,4
2005,91,91,71,2
2004,90,89,72,8
2003,96,92,70,5
